Twylerr,Oulett,1,2009,Sieradza,0,-1,-1,-1
Malinda,Oulett,2,2010,Badeggi,0,-1,-1,1
Garald,Grosvenor,3,1993,Refojos,0,-1,-1,-1
Idalina,Grosvenor,4,2012,Nangen,0,-1,-1,3
Sophie,Houlton,5,1998,Zaytā Jammā‘īn,0,-1,-1,-1
Byrle,Houlton,6,2012,Antaparco,0,-1,-1,5
Vivienne,Oulett,7,1992,Yuza,1,1,2,-1
Lib,Oulett,8,1987,Tours,1,1,2,-1
Iver,Oulett,9,1984,Sanyantang,1,1,2,-1
Eleonore,Grosvenor,10,2012,Innisfil,1,3,4,-1
Garreth,Grosvenor,11,1984,Vällingby,1,3,4,-1
Ranice,Houlton,12,1990,Omuthiya,1,6,5,11
Anatollo,Oulett,13,2003,Lanús,2,9,10,-1
Stanly,Oulett,14,2002,Czernice Borowe,2,9,10,-1
Tabby,Embra,15,1996,Los Angeles,2,-1,-1,14
Channa,Grosvenor,16,2008,Zheleznodorozhnyy,2,11,12,-1
Kristos,Adne,17,2007,Moscavide,2,-1,-1,16
Britteny,Oulett,18,1988,Bibinje,3,14,15,-1
Olivero,Oulett,19,1995,Madala,3,14,15,-1
Dael,Oulett,20,2008,Gwaram,3,14,15,-1
Codie,Frend,21,2003,La Caleta Culebras,3,-1,-1,20
Anissa,Grosvenor,22,2010,Buenavista,3,17,16,-1
Maddy,Grosvenor,23,2006,Palkino,3,17,16,-1
Kingston,Frend,24,2010,Uinskoye,4,21,20,-1
Immanuel,Frend,25,1994,Las Carreras,4,21,20,-1
Ephrayim,Mateos,26,1995,Dolna Banya,4,-1,-1,25
Dill,Frend,27,2004,Wailang,5,25,26,-1
